Unnamed: 0,City,Price,Title,bedroom,ft
660,derry,1429,free storage washer/dryer included.  no security deposit required,2,910
661,greenville,685,2 bedroom apartment,2,550
662,greenville,675,one bedroom apartment,1,480
663,297orangestreet,1095,very spacious one bedroom - north end - pet friendly,1,
664,10harvardstrochester,1250,renovated 3 bedroom.,3,800
665,3templest,1700,spacious 4 bedroom apartment available for rent,4,
666,10harvardstrochester,1250,completely renovated 2.5 bedroom,3,800
667,"portland,me",1500,")))>> portland, me 2 bed | 1 bath home for rent <<(((",2,1070
668,nashua,1399,looking for your next home sweet home   smoke free 1br available now,560ft2,
669,3springfieldestates,1395,gorgeous townhome in springfield estates,2,
670,"281merrymeetingroad,newdurham,03855",1600,charming 3 bedroom cape in new durham,3,
671,1waterfordway,1595,2 bedroom with washer and dryer,2,1049
672,boscawen,831,boscawen/concord affordable garden style units apply today,2,
673,1waterfordway,1421,north manchester 2 bedroom,2,993
674,somersworth,1200,2 bedroom apartment,2,
675,milford,1249,2 bedroom apartment ready to rent-quiet country setting,2,
676,laconia,1100,heat hot water included,3,
677,laconia,1175,renovated 3 bedroom duplex with garage,3,
678,newmarket,2600,unh students - 4 br beautiful brick house {june 2019 - may 2020},4,
679,laconia,1500,detached 3 bedroom home coming soon-call us today,3,
680,"37grovestreet,dover",995,loft apartment-one-bedroom,1,
681,portsmouth,2430,ask us about our limited time leasing specials,2,988
682,derry,1573,plenty of storage space with this beautifully updated 2br plus heat  hot water,2,
683,"82thirdstreet,manchester",1429,reserve your apt now for winter washer/dryer,3,1355
684,portsmouth,2430,limited time leasing specials free rent,2,988
685,"7railroadavenue,derry",1429,you want to experience the red oak difference,2,910
686,"10sentinelcourt,manchesternh",1329,rent now  receive $750 off 1st month's rent,2,861
687,newport,895,beautiful spacious 3-br newly renovated,3,
688,1850frontstmanchesternh,1850,open house saturday 11/17/18 1-3 pm at regency west in manchester,1140ft2,
689,145easternavemanchesternh,1259,corner unit for rent be in your new apartment by christmas,2,733
690,"30hanoverstreet,manchester",1069,never settle for less microwave in kitchen,560ft2,
691,"93weststreet,milford",1099,highland estates - you know you want to central vac,2,716
692,"20sentinelcourt,manchester",1329,we specialize in helping you find the perfect apt,2,861
693,rockingham&straffordcounties,1,why rent when you can buy a home,,
694,"rockinghamcounty,straffordcounty",1,why rent when you can buy a home,,
